2026-04-10 17:06:50 | DEBUG    | hf_rubert_baseline |   batch 1900 | loss 1.1446 | lr 1.54e-06 | GPU 2.88 GB
2026-04-10 17:06:54 | DEBUG    | hf_rubert_baseline |   batch 1950 | loss 0.6975 | lr 1.57e-06 | GPU 2.87 GB
2026-04-10 17:06:59 | DEBUG    | hf_rubert_baseline |   batch 2000 | loss 0.9434 | lr 1.61e-06 | GPU 2.87 GB
2026-04-10 17:07:03 | DEBUG    | hf_rubert_baseline |   batch 2050 | loss 1.1311 | lr 1.65e-06 | GPU 2.88 GB
2026-04-10 17:07:09 | DEBUG    | hf_rubert_baseline |   batch 2100 | loss 0.8167 | lr 1.70e-06 | GPU 2.88 GB
2026-04-10 17:07:14 | DEBUG    | hf_rubert_baseline |   batch 2150 | loss 0.8426 | lr 1.74e-06 | GPU 2.88 GB
2026-04-10 17:07:19 | DEBUG    | hf_rubert_baseline |   batch 2200 | loss 1.0829 | lr 1.78e-06 | GPU 2.88 GB
2026-04-10 17:07:25 | DEBUG    | hf_rubert_baseline |   batch 2250 | loss 1.0014 | lr 1.83e-06 | GPU 2.88 GB
2026-04-10 17:07:30 | DEBUG    | hf_rubert_baseline |   batch 2300 | loss 0.9311 | lr 1.87e-06 | GPU 2.88 GB
2026-04-10 17:07:35 | DEBUG    | hf_rubert_baseline |   batch 2350 | loss 0.9764 | lr 1.92e-06 | GPU 2.88 GB
2026-04-10 17:07:39 | DEBUG    | hf_rubert_baseline |   batch 2400 | loss 0.9104 | lr 1.96e-06 | GPU 2.88 GB
2026-04-10 17:07:44 | DEBUG    | hf_rubert_baseline |   batch 2450 | loss 0.7920 | lr 2.01e-06 | GPU 2.88 GB
2026-04-10 17:07:49 | DEBUG    | hf_rubert_baseline |   batch 2500 | loss 0.7218 | lr 2.06e-06 | GPU 2.88 GB
2026-04-10 17:07:54 | DEBUG    | hf_rubert_baseline |   batch 2550 | loss 1.1169 | lr 2.11e-06 | GPU 2.88 GB
2026-04-10 17:07:59 | DEBUG    | hf_rubert_baseline |   batch 2600 | loss 0.9844 | lr 2.16e-06 | GPU 2.87 GB
2026-04-10 17:08:04 | DEBUG    | hf_rubert_baseline |   batch 2650 | loss 0.9600 | lr 2.21e-06 | GPU 2.88 GB
