2026-04-10 02:25:30 | DEBUG    | hf_rubert_baseline |   batch 1900 | loss 1.0981 | lr 1.54e-06 | GPU 2.88 GB
2026-04-10 02:25:44 | DEBUG    | hf_rubert_baseline |   batch 1950 | loss 0.7295 | lr 1.57e-06 | GPU 2.87 GB
2026-04-10 02:25:58 | DEBUG    | hf_rubert_baseline |   batch 2000 | loss 1.0835 | lr 1.61e-06 | GPU 2.87 GB
2026-04-10 02:26:13 | DEBUG    | hf_rubert_baseline |   batch 2050 | loss 1.0970 | lr 1.65e-06 | GPU 2.88 GB
2026-04-10 02:26:23 | DEBUG    | hf_rubert_baseline |   batch 2100 | loss 0.9356 | lr 1.70e-06 | GPU 2.88 GB
2026-04-10 02:26:33 | DEBUG    | hf_rubert_baseline |   batch 2150 | loss 0.8726 | lr 1.74e-06 | GPU 2.88 GB
2026-04-10 02:26:46 | DEBUG    | hf_rubert_baseline |   batch 2200 | loss 1.0977 | lr 1.78e-06 | GPU 2.88 GB
2026-04-10 02:27:01 | DEBUG    | hf_rubert_baseline |   batch 2250 | loss 0.8557 | lr 1.83e-06 | GPU 2.88 GB
2026-04-10 02:27:15 | DEBUG    | hf_rubert_baseline |   batch 2300 | loss 0.9891 | lr 1.87e-06 | GPU 2.88 GB
2026-04-10 02:27:31 | DEBUG    | hf_rubert_baseline |   batch 2350 | loss 1.0385 | lr 1.92e-06 | GPU 2.88 GB
2026-04-10 02:27:43 | DEBUG    | hf_rubert_baseline |   batch 2400 | loss 0.9851 | lr 1.96e-06 | GPU 2.88 GB
2026-04-10 02:27:55 | DEBUG    | hf_rubert_baseline |   batch 2450 | loss 0.7709 | lr 2.01e-06 | GPU 2.88 GB
2026-04-10 02:28:04 | DEBUG    | hf_rubert_baseline |   batch 2500 | loss 0.7245 | lr 2.06e-06 | GPU 2.88 GB
2026-04-10 02:28:15 | DEBUG    | hf_rubert_baseline |   batch 2550 | loss 1.1079 | lr 2.11e-06 | GPU 2.88 GB
2026-04-10 02:28:29 | DEBUG    | hf_rubert_baseline |   batch 2600 | loss 0.9721 | lr 2.16e-06 | GPU 2.87 GB
2026-04-10 02:28:39 | DEBUG    | hf_rubert_baseline |   batch 2650 | loss 1.0241 | lr 2.21e-06 | GPU 2.88 GB
2026-04-10 02:28:52 | DEBUG    | hf_rubert_baseline |   batch 2700 | loss 0.8967 | lr 2.27e-06 | GPU 2.87 GB
2026-04-10 02:29:04 | DEBUG    | hf_rubert_baseline |   batch 2750 | loss 0.8883 | lr 2.32e-06 | GPU 2.88 GB
2026-04-10 02:29:18 | DEBUG    | hf_rubert_baseline |   batch 2800 | loss 0.7772 | lr 2.37e-06 | GPU 2.87 GB
2026-04-10 02:29:35 | DEBUG    | hf_rubert_baseline |   batch 2850 | loss 0.8244 | lr 2.43e-06 | GPU 2.88 GB
2026-04-10 02:29:47 | DEBUG    | hf_rubert_baseline |   batch 2900 | loss 1.0108 | lr 2.48e-06 | GPU 2.88 GB
2026-04-10 02:29:56 | DEBUG    | hf_rubert_baseline |   batch 2950 | loss 1.2793 | lr 2.54e-06 | GPU 2.87 GB
2026-04-10 02:30:06 | DEBUG    | hf_rubert_baseline |   batch 3000 | loss 0.9903 | lr 2.60e-06 | GPU 2.88 GB
2026-04-10 02:30:18 | DEBUG    | hf_rubert_baseline |   batch 3050 | loss 0.9816 | lr 2.66e-06 | GPU 2.88 GB
2026-04-10 02:30:33 | DEBUG    | hf_rubert_baseline |   batch 3100 | loss 0.8547 | lr 2.72e-06 | GPU 2.88 GB
2026-04-10 02:30:47 | DEBUG    | hf_rubert_baseline |   batch 3150 | loss 1.2488 | lr 2.78e-06 | GPU 2.87 GB
2026-04-10 02:31:00 | DEBUG    | hf_rubert_baseline |   batch 3200 | loss 1.0098 | lr 2.84e-06 | GPU 2.88 GB
2026-04-10 02:31:10 | DEBUG    | hf_rubert_baseline |   batch 3250 | loss 0.7740 | lr 2.90e-06 | GPU 2.87 GB
2026-04-10 02:31:27 | DEBUG    | hf_rubert_baseline |   batch 3300 | loss 0.6367 | lr 2.96e-06 | GPU 2.87 GB
2026-04-10 02:31:44 | DEBUG    | hf_rubert_baseline |   batch 3350 | loss 1.1047 | lr 3.02e-06 | GPU 2.87 GB
2026-04-10 02:31:55 | DEBUG    | hf_rubert_baseline |   batch 3400 | loss 0.8303 | lr 3.09e-06 | GPU 2.88 GB
2026-04-10 02:32:05 | DEBUG    | hf_rubert_baseline |   batch 3450 | loss 0.8826 | lr 3.15e-06 | GPU 2.88 GB
2026-04-10 02:32:15 | DEBUG    | hf_rubert_baseline |   batch 3500 | loss 1.2118 | lr 3.22e-06 | GPU 2.88 GB
2026-04-10 02:32:25 | DEBUG    | hf_rubert_baseline |   batch 3550 | loss 0.9841 | lr 3.29e-06 | GPU 2.88 GB
2026-04-10 02:32:39 | DEBUG    | hf_rubert_baseline |   batch 3600 | loss 1.2466 | lr 3.35e-06 | GPU 2.88 GB
2026-04-10 02:32:50 | DEBUG    | hf_rubert_baseline |   batch 3650 | loss 1.1381 | lr 3.42e-06 | GPU 2.87 GB
2026-04-10 02:33:03 | DEBUG    | hf_rubert_baseline |   batch 3700 | loss 0.6977 | lr 3.49e-06 | GPU 2.87 GB
2026-04-10 02:33:21 | DEBUG    | hf_rubert_baseline |   batch 3750 | loss 0.6102 | lr 3.56e-06 | GPU 2.88 GB
