2026-04-11 20:49:53 | INFO     | coda_biattn_context | Log file: C:\Users\Meric\Desktop\VKR\Code\results\logs\2026-04-11_20-49-53_coda_biattn_context.log
2026-04-11 20:49:53 | INFO     | coda_biattn_context | ============================================================
2026-04-11 20:49:53 | INFO     | coda_biattn_context | Training: CODA-BIATTN_CONTEXT
2026-04-11 20:49:53 | INFO     | coda_biattn_context | Device: cuda | Seed: 42 | Dry run: False
2026-04-11 20:49:53 | INFO     | coda_biattn_context | Epochs: 30 | Batch: 16 | LR: 1.00e-04
2026-04-11 20:49:53 | INFO     | coda_biattn_context | Freeze BERT: True | Prosodic: True | AMP: True
2026-04-11 20:49:53 | INFO     | coda_biattn_context | ============================================================
2026-04-11 20:49:57 | INFO     | coda_biattn_context | Dataset: 179590 samples
2026-04-11 20:59:52 | DEBUG    | coda_biattn_context |   batch 1750 | loss 1.1982 | grad 1.7742 | lr 4.81e-06 | GPU 0.80 GB
2026-04-11 21:00:06 | DEBUG    | coda_biattn_context |   batch 1800 | loss 0.9574 | grad 1.6902 | lr 4.86e-06 | GPU 0.80 GB
2026-04-11 21:00:20 | DEBUG    | coda_biattn_context |   batch 1850 | loss 1.6503 | grad 1.6271 | lr 4.90e-06 | GPU 0.80 GB
2026-04-11 21:00:35 | DEBUG    | coda_biattn_context |   batch 1900 | loss 1.4115 | grad 1.6280 | lr 4.95e-06 | GPU 0.80 GB
2026-04-11 21:00:48 | DEBUG    | coda_biattn_context |   batch 1950 | loss 1.8445 | grad 1.6856 | lr 5.00e-06 | GPU 0.80 GB
2026-04-11 21:01:02 | DEBUG    | coda_biattn_context |   batch 2000 | loss 2.2460 | grad 1.5897 | lr 5.06e-06 | GPU 0.80 GB
2026-04-11 21:01:16 | DEBUG    | coda_biattn_context |   batch 2050 | loss 1.5997 | grad 1.7797 | lr 5.11e-06 | GPU 0.80 GB
2026-04-11 21:01:31 | DEBUG    | coda_biattn_context |   batch 2100 | loss 1.4721 | grad 1.6764 | lr 5.16e-06 | GPU 0.80 GB
2026-04-11 21:01:46 | DEBUG    | coda_biattn_context |   batch 2150 | loss 1.1226 | grad 1.8110 | lr 5.22e-06 | GPU 0.80 GB
2026-04-11 21:01:55 | DEBUG    | coda_biattn_context |   batch 2200 | loss 1.8948 | grad 1.6861 | lr 5.28e-06 | GPU 0.80 GB
2026-04-11 21:02:06 | DEBUG    | coda_biattn_context |   batch 2250 | loss 1.7453 | grad 1.9954 | lr 5.33e-06 | GPU 0.80 GB
2026-04-11 21:02:19 | DEBUG    | coda_biattn_context |   batch 2300 | loss 0.9195 | grad 1.6898 | lr 5.39e-06 | GPU 0.80 GB
2026-04-11 21:02:34 | DEBUG    | coda_biattn_context |   batch 2350 | loss 2.0670 | grad 1.6795 | lr 5.45e-06 | GPU 0.80 GB
2026-04-11 21:02:42 | DEBUG    | coda_biattn_context |   batch 2400 | loss 1.7750 | grad 1.6868 | lr 5.52e-06 | GPU 0.80 GB
2026-04-11 21:02:51 | DEBUG    | coda_biattn_context |   batch 2450 | loss 0.8100 | grad 1.7299 | lr 5.58e-06 | GPU 0.80 GB
2026-04-11 21:02:59 | DEBUG    | coda_biattn_context |   batch 2500 | loss 0.7426 | grad 1.7036 | lr 5.65e-06 | GPU 0.80 GB
2026-04-11 21:03:08 | DEBUG    | coda_biattn_context |   batch 2550 | loss 1.0452 | grad 1.9340 | lr 5.71e-06 | GPU 0.80 GB
2026-04-11 21:03:17 | DEBUG    | coda_biattn_context |   batch 2600 | loss 1.1839 | grad 1.6586 | lr 5.78e-06 | GPU 0.81 GB
2026-04-11 21:03:27 | DEBUG    | coda_biattn_context |   batch 2650 | loss 0.9321 | grad 1.8443 | lr 5.85e-06 | GPU 0.80 GB
2026-04-11 21:03:36 | DEBUG    | coda_biattn_context |   batch 2700 | loss 0.8956 | grad 1.7939 | lr 5.92e-06 | GPU 0.80 GB
2026-04-11 21:03:46 | DEBUG    | coda_biattn_context |   batch 2750 | loss 0.7114 | grad 1.9767 | lr 5.99e-06 | GPU 0.80 GB
2026-04-11 21:03:55 | DEBUG    | coda_biattn_context |   batch 2800 | loss 1.0363 | grad 1.7794 | lr 6.06e-06 | GPU 0.80 GB
2026-04-11 21:04:05 | DEBUG    | coda_biattn_context |   batch 2850 | loss 1.1490 | grad 1.9783 | lr 6.13e-06 | GPU 0.80 GB
2026-04-11 21:04:15 | DEBUG    | coda_biattn_context |   batch 2900 | loss 1.6537 | grad 1.7907 | lr 6.21e-06 | GPU 0.81 GB
2026-04-11 21:04:24 | DEBUG    | coda_biattn_context |   batch 2950 | loss 1.2429 | grad 1.6626 | lr 6.29e-06 | GPU 0.80 GB
2026-04-11 21:04:33 | DEBUG    | coda_biattn_context |   batch 3000 | loss 1.8898 | grad 2.2062 | lr 6.36e-06 | GPU 0.80 GB
2026-04-11 21:04:43 | DEBUG    | coda_biattn_context |   batch 3050 | loss 1.3010 | grad 1.6982 | lr 6.44e-06 | GPU 0.80 GB
2026-04-11 21:04:52 | DEBUG    | coda_biattn_context |   batch 3100 | loss 1.3392 | grad 1.9003 | lr 6.52e-06 | GPU 0.80 GB
2026-04-11 21:05:01 | DEBUG    | coda_biattn_context |   batch 3150 | loss 1.1275 | grad 1.9496 | lr 6.60e-06 | GPU 0.80 GB
2026-04-11 21:05:09 | DEBUG    | coda_biattn_context |   batch 3200 | loss 1.1740 | grad 1.9367 | lr 6.69e-06 | GPU 0.80 GB
2026-04-11 21:05:17 | DEBUG    | coda_biattn_context |   batch 3250 | loss 1.1628 | grad 2.5407 | lr 6.77e-06 | GPU 0.80 GB
2026-04-11 21:05:26 | DEBUG    | coda_biattn_context |   batch 3300 | loss 1.4727 | grad 2.0249 | lr 6.85e-06 | GPU 0.80 GB
2026-04-11 21:05:35 | DEBUG    | coda_biattn_context |   batch 3350 | loss 0.9256 | grad 2.0636 | lr 6.94e-06 | GPU 0.80 GB
2026-04-11 21:05:45 | DEBUG    | coda_biattn_context |   batch 3400 | loss 1.1980 | grad 2.2506 | lr 7.03e-06 | GPU 0.80 GB
2026-04-11 21:05:55 | DEBUG    | coda_biattn_context |   batch 3450 | loss 0.8402 | grad 1.9347 | lr 7.12e-06 | GPU 0.80 GB
2026-04-11 21:06:04 | DEBUG    | coda_biattn_context |   batch 3500 | loss 0.7401 | grad 2.1137 | lr 7.21e-06 | GPU 0.80 GB
2026-04-11 21:06:14 | DEBUG    | coda_biattn_context |   batch 3550 | loss 1.3984 | grad 2.2167 | lr 7.30e-06 | GPU 0.80 GB
2026-04-11 21:06:24 | DEBUG    | coda_biattn_context |   batch 3600 | loss 0.7043 | grad 2.0410 | lr 7.39e-06 | GPU 0.80 GB
2026-04-11 21:06:33 | DEBUG    | coda_biattn_context |   batch 3650 | loss 0.9424 | grad 2.2226 | lr 7.48e-06 | GPU 0.80 GB
2026-04-11 21:06:42 | DEBUG    | coda_biattn_context |   batch 3700 | loss 0.5407 | grad 2.0550 | lr 7.58e-06 | GPU 0.80 GB
2026-04-11 21:06:52 | DEBUG    | coda_biattn_context |   batch 3750 | loss 1.1094 | grad 2.7850 | lr 7.68e-06 | GPU 0.80 GB
2026-04-11 21:07:01 | DEBUG    | coda_biattn_context |   batch 3800 | loss 1.0926 | grad 2.4697 | lr 7.77e-06 | GPU 0.80 GB
2026-04-11 21:07:10 | DEBUG    | coda_biattn_context |   batch 3850 | loss 1.0338 | grad 3.3930 | lr 7.87e-06 | GPU 0.81 GB
2026-04-11 21:07:19 | DEBUG    | coda_biattn_context |   batch 3900 | loss 0.8774 | grad 2.1913 | lr 7.97e-06 | GPU 0.80 GB
2026-04-11 21:07:29 | DEBUG    | coda_biattn_context |   batch 3950 | loss 1.1417 | grad 2.7362 | lr 8.07e-06 | GPU 0.80 GB
2026-04-11 21:07:38 | DEBUG    | coda_biattn_context |   batch 4000 | loss 0.7215 | grad 1.7736 | lr 8.17e-06 | GPU 0.80 GB
2026-04-11 21:07:48 | DEBUG    | coda_biattn_context |   batch 4050 | loss 1.0140 | grad 2.1298 | lr 8.28e-06 | GPU 0.80 GB
2026-04-11 21:07:57 | DEBUG    | coda_biattn_context |   batch 4100 | loss 1.0955 | grad 2.2312 | lr 8.38e-06 | GPU 0.80 GB
2026-04-11 21:08:07 | DEBUG    | coda_biattn_context |   batch 4150 | loss 0.9100 | grad 2.5810 | lr 8.49e-06 | GPU 0.81 GB
2026-04-11 21:08:17 | DEBUG    | coda_biattn_context |   batch 4200 | loss 0.7674 | grad 1.9046 | lr 8.60e-06 | GPU 0.80 GB
2026-04-11 21:08:26 | DEBUG    | coda_biattn_context |   batch 4250 | loss 1.0633 | grad 2.9720 | lr 8.70e-06 | GPU 0.80 GB
2026-04-11 21:08:36 | DEBUG    | coda_biattn_context |   batch 4300 | loss 0.9007 | grad 2.2465 | lr 8.81e-06 | GPU 0.80 GB
2026-04-11 21:08:45 | DEBUG    | coda_biattn_context |   batch 4350 | loss 0.8559 | grad 2.1358 | lr 8.92e-06 | GPU 0.80 GB
2026-04-11 21:08:55 | DEBUG    | coda_biattn_context |   batch 4400 | loss 1.3433 | grad 2.0078 | lr 9.04e-06 | GPU 0.81 GB
2026-04-11 21:09:05 | DEBUG    | coda_biattn_context |   batch 4450 | loss 1.3797 | grad 2.9723 | lr 9.15e-06 | GPU 0.80 GB
2026-04-11 21:09:14 | DEBUG    | coda_biattn_context |   batch 4500 | loss 0.7427 | grad 2.9242 | lr 9.26e-06 | GPU 0.80 GB
2026-04-11 21:09:23 | DEBUG    | coda_biattn_context |   batch 4550 | loss 1.1359 | grad 2.5370 | lr 9.38e-06 | GPU 0.80 GB
2026-04-11 21:09:33 | DEBUG    | coda_biattn_context |   batch 4600 | loss 0.5845 | grad 2.6638 | lr 9.49e-06 | GPU 0.80 GB
2026-04-11 21:09:43 | DEBUG    | coda_biattn_context |   batch 4650 | loss 1.0541 | grad 2.8117 | lr 9.61e-06 | GPU 0.80 GB
2026-04-11 21:09:53 | DEBUG    | coda_biattn_context |   batch 4700 | loss 0.6321 | grad 3.2768 | lr 9.73e-06 | GPU 0.81 GB
2026-04-11 21:10:03 | DEBUG    | coda_biattn_context |   batch 4750 | loss 0.5665 | grad 1.7776 | lr 9.85e-06 | GPU 0.80 GB
2026-04-11 21:10:12 | DEBUG    | coda_biattn_context |   batch 4800 | loss 1.7285 | grad 2.8057 | lr 9.97e-06 | GPU 0.80 GB
2026-04-11 21:10:22 | DEBUG    | coda_biattn_context |   batch 4850 | loss 0.8887 | grad 2.8030 | lr 1.01e-05 | GPU 0.81 GB
2026-04-11 21:10:31 | DEBUG    | coda_biattn_context |   batch 4900 | loss 0.6585 | grad 2.3111 | lr 1.02e-05 | GPU 0.80 GB
2026-04-11 21:10:41 | DEBUG    | coda_biattn_context |   batch 4950 | loss 0.8119 | grad 2.4436 | lr 1.03e-05 | GPU 0.80 GB
2026-04-11 21:10:50 | DEBUG    | coda_biattn_context |   batch 5000 | loss 0.7153 | grad 2.3588 | lr 1.05e-05 | GPU 0.80 GB
2026-04-11 21:10:59 | DEBUG    | coda_biattn_context |   batch 5050 | loss 0.4275 | grad 2.6658 | lr 1.06e-05 | GPU 0.80 GB
2026-04-11 21:11:08 | DEBUG    | coda_biattn_context |   batch 5100 | loss 1.2085 | grad 2.8830 | lr 1.07e-05 | GPU 0.80 GB
2026-04-11 21:11:18 | DEBUG    | coda_biattn_context |   batch 5150 | loss 1.1115 | grad 2.8393 | lr 1.09e-05 | GPU 0.80 GB
2026-04-11 21:11:27 | DEBUG    | coda_biattn_context |   batch 5200 | loss 0.8292 | grad 2.9200 | lr 1.10e-05 | GPU 0.80 GB
2026-04-11 21:11:36 | DEBUG    | coda_biattn_context |   batch 5250 | loss 0.5929 | grad 2.4045 | lr 1.11e-05 | GPU 0.80 GB
2026-04-11 21:11:44 | DEBUG    | coda_biattn_context |   batch 5300 | loss 0.7868 | grad 2.6400 | lr 1.12e-05 | GPU 0.80 GB
2026-04-11 21:11:52 | DEBUG    | coda_biattn_context |   batch 5350 | loss 1.0991 | grad 3.2415 | lr 1.14e-05 | GPU 0.80 GB
2026-04-11 21:12:00 | DEBUG    | coda_biattn_context |   batch 5400 | loss 0.6570 | grad 2.1927 | lr 1.15e-05 | GPU 0.80 GB
2026-04-11 21:12:08 | DEBUG    | coda_biattn_context |   batch 5450 | loss 1.2893 | grad 2.9994 | lr 1.17e-05 | GPU 0.80 GB
2026-04-11 21:12:16 | DEBUG    | coda_biattn_context |   batch 5500 | loss 0.7194 | grad 2.1963 | lr 1.18e-05 | GPU 0.80 GB
2026-04-11 21:12:24 | DEBUG    | coda_biattn_context |   batch 5550 | loss 0.8604 | grad 3.7033 | lr 1.19e-05 | GPU 0.80 GB
2026-04-11 21:12:33 | DEBUG    | coda_biattn_context |   batch 5600 | loss 0.6933 | grad 2.7024 | lr 1.21e-05 | GPU 0.80 GB
2026-04-11 21:12:41 | DEBUG    | coda_biattn_context |   batch 5650 | loss 0.3434 | grad 2.6459 | lr 1.22e-05 | GPU 0.80 GB
2026-04-11 21:12:49 | DEBUG    | coda_biattn_context |   batch 5700 | loss 0.7151 | grad 2.6870 | lr 1.23e-05 | GPU 0.80 GB
2026-04-11 21:12:57 | DEBUG    | coda_biattn_context |   batch 5750 | loss 1.7359 | grad 2.4127 | lr 1.25e-05 | GPU 0.80 GB
2026-04-11 21:13:05 | DEBUG    | coda_biattn_context |   batch 5800 | loss 0.7094 | grad 2.5819 | lr 1.26e-05 | GPU 0.80 GB
2026-04-11 21:13:13 | DEBUG    | coda_biattn_context |   batch 5850 | loss 0.9180 | grad 3.2154 | lr 1.28e-05 | GPU 0.80 GB
2026-04-11 21:13:21 | DEBUG    | coda_biattn_context |   batch 5900 | loss 1.3132 | grad 3.1059 | lr 1.29e-05 | GPU 0.79 GB
2026-04-11 21:13:29 | DEBUG    | coda_biattn_context |   batch 5950 | loss 0.7819 | grad 2.6205 | lr 1.31e-05 | GPU 0.80 GB
