2026-04-11 16:31:26 | INFO     | coda_base | Log file: C:\Users\Meric\Desktop\VKR\Code\results\logs\2026-04-11_16-31-26_coda_base.log
2026-04-11 16:31:26 | INFO     | coda_base | ============================================================
2026-04-11 16:31:26 | INFO     | coda_base | Training: CODA-BASE
2026-04-11 16:31:26 | INFO     | coda_base | Device: cuda | Seed: 42 | Dry run: False
2026-04-11 16:31:26 | INFO     | coda_base | Epochs: 30 | Batch: 16 | LR: 1.00e-04
2026-04-11 16:31:26 | INFO     | coda_base | Freeze BERT: True | Prosodic: True | AMP: True
2026-04-11 16:31:26 | INFO     | coda_base | ============================================================
2026-04-11 16:31:29 | INFO     | coda_base | Dataset: 179590 samples
2026-04-11 16:31:29 | INFO     | coda_base | Train: 159512 | Val: 20078
2026-04-11 16:31:30 | INFO     | coda_base | Class weights (sqrt_inverse): ['1.140', '1.064', '0.480', '1.316']
2026-04-11 16:31:35 | INFO     | coda_base | Total params: 178,907,846 | Trainable: 600,518
2026-04-11 16:33:39 | DEBUG    | coda_base |   batch 50 | loss 2.5563 | grad 1.5088 | lr 4.00e-06 | GPU 0.76 GB
2026-04-11 16:33:40 | DEBUG    | coda_base |   batch 100 | loss 1.6209 | grad 1.5086 | lr 4.00e-06 | GPU 0.76 GB
2026-04-11 16:33:41 | DEBUG    | coda_base |   batch 150 | loss 2.0100 | grad 1.5177 | lr 4.01e-06 | GPU 0.76 GB
2026-04-11 16:33:42 | DEBUG    | coda_base |   batch 200 | loss 1.9983 | grad 1.5068 | lr 4.01e-06 | GPU 0.76 GB
2026-04-11 16:33:43 | DEBUG    | coda_base |   batch 250 | loss 1.5234 | grad 1.4897 | lr 4.02e-06 | GPU 0.76 GB
2026-04-11 16:33:45 | DEBUG    | coda_base |   batch 300 | loss 1.8588 | grad 1.5183 | lr 4.02e-06 | GPU 0.77 GB
2026-04-11 16:33:46 | DEBUG    | coda_base |   batch 350 | loss 1.5682 | grad 1.5073 | lr 4.03e-06 | GPU 0.76 GB
2026-04-11 16:33:48 | DEBUG    | coda_base |   batch 400 | loss 2.2246 | grad 1.5416 | lr 4.04e-06 | GPU 0.77 GB
2026-04-11 16:33:49 | DEBUG    | coda_base |   batch 450 | loss 1.6918 | grad 1.5203 | lr 4.05e-06 | GPU 0.76 GB
2026-04-11 16:33:50 | DEBUG    | coda_base |   batch 500 | loss 1.2074 | grad 1.5138 | lr 4.07e-06 | GPU 0.77 GB
2026-04-11 16:33:52 | DEBUG    | coda_base |   batch 550 | loss 1.9868 | grad 1.5167 | lr 4.08e-06 | GPU 0.76 GB
2026-04-11 16:33:53 | DEBUG    | coda_base |   batch 600 | loss 1.6936 | grad 1.4977 | lr 4.10e-06 | GPU 0.76 GB
2026-04-11 16:33:54 | DEBUG    | coda_base |   batch 650 | loss 1.6082 | grad 1.5081 | lr 4.11e-06 | GPU 0.76 GB
2026-04-11 16:33:56 | DEBUG    | coda_base |   batch 700 | loss 1.5289 | grad 1.5030 | lr 4.13e-06 | GPU 0.76 GB
2026-04-11 16:33:57 | DEBUG    | coda_base |   batch 750 | loss 2.1722 | grad 1.5316 | lr 4.15e-06 | GPU 0.76 GB
