2026-04-11 17:52:35 | INFO     | coda_uniattn | Log file: C:\Users\Meric\Desktop\VKR\Code\results\logs\2026-04-11_17-52-35_coda_uniattn.log
2026-04-11 17:52:35 | INFO     | coda_uniattn | ============================================================
2026-04-11 17:52:35 | INFO     | coda_uniattn | Training: CODA-UNIATTN
2026-04-11 17:52:35 | INFO     | coda_uniattn | Device: cuda | Seed: 42 | Dry run: False
2026-04-11 17:52:35 | INFO     | coda_uniattn | Epochs: 30 | Batch: 16 | LR: 1.00e-04
2026-04-11 17:52:35 | INFO     | coda_uniattn | Freeze BERT: True | Prosodic: True | AMP: True
2026-04-11 17:52:35 | INFO     | coda_uniattn | ============================================================
2026-04-11 17:52:39 | INFO     | coda_uniattn | Dataset: 179590 samples
2026-04-11 17:55:42 | DEBUG    | coda_uniattn |   batch 1750 | loss 1.1502 | grad 1.7611 | lr 4.81e-06 | GPU 0.77 GB
2026-04-11 17:55:43 | DEBUG    | coda_uniattn |   batch 1800 | loss 1.0903 | grad 1.7274 | lr 4.86e-06 | GPU 0.77 GB
2026-04-11 17:55:45 | DEBUG    | coda_uniattn |   batch 1850 | loss 0.8006 | grad 1.7411 | lr 4.90e-06 | GPU 0.77 GB
2026-04-11 17:55:46 | DEBUG    | coda_uniattn |   batch 1900 | loss 1.3106 | grad 1.7710 | lr 4.95e-06 | GPU 0.78 GB
2026-04-11 17:55:48 | DEBUG    | coda_uniattn |   batch 1950 | loss 1.2084 | grad 1.7227 | lr 5.00e-06 | GPU 0.77 GB
2026-04-11 17:55:49 | DEBUG    | coda_uniattn |   batch 2000 | loss 1.1044 | grad 1.7960 | lr 5.06e-06 | GPU 0.77 GB
2026-04-11 17:55:51 | DEBUG    | coda_uniattn |   batch 2050 | loss 1.1495 | grad 1.8123 | lr 5.11e-06 | GPU 0.77 GB
2026-04-11 17:55:53 | DEBUG    | coda_uniattn |   batch 2100 | loss 1.2678 | grad 1.6960 | lr 5.16e-06 | GPU 0.77 GB
2026-04-11 17:55:54 | DEBUG    | coda_uniattn |   batch 2150 | loss 1.2196 | grad 1.8399 | lr 5.22e-06 | GPU 0.78 GB
2026-04-11 17:55:56 | DEBUG    | coda_uniattn |   batch 2200 | loss 0.9930 | grad 1.7599 | lr 5.28e-06 | GPU 0.77 GB
2026-04-11 17:55:57 | DEBUG    | coda_uniattn |   batch 2250 | loss 1.0898 | grad 1.7642 | lr 5.33e-06 | GPU 0.77 GB
2026-04-11 17:55:59 | DEBUG    | coda_uniattn |   batch 2300 | loss 1.2673 | grad 1.8323 | lr 5.39e-06 | GPU 0.77 GB
2026-04-11 17:56:00 | DEBUG    | coda_uniattn |   batch 2350 | loss 1.2329 | grad 1.8942 | lr 5.45e-06 | GPU 0.77 GB
2026-04-11 17:56:02 | DEBUG    | coda_uniattn |   batch 2400 | loss 1.2594 | grad 1.8833 | lr 5.52e-06 | GPU 0.77 GB
2026-04-11 17:56:03 | DEBUG    | coda_uniattn |   batch 2450 | loss 1.0452 | grad 1.8711 | lr 5.58e-06 | GPU 0.78 GB
2026-04-11 17:56:05 | DEBUG    | coda_uniattn |   batch 2500 | loss 1.0926 | grad 1.8496 | lr 5.65e-06 | GPU 0.77 GB
2026-04-11 17:56:06 | DEBUG    | coda_uniattn |   batch 2550 | loss 0.7281 | grad 1.7241 | lr 5.71e-06 | GPU 0.78 GB
