2026-04-11 16:20:40 | INFO     | coda_base | Log file: C:\Users\Meric\Desktop\VKR\Code\results\logs\2026-04-11_16-20-40_coda_base.log
2026-04-11 16:20:40 | INFO     | coda_base | ============================================================
2026-04-11 16:20:40 | INFO     | coda_base | Training: CODA-BASE
2026-04-11 16:20:40 | INFO     | coda_base | Device: cuda | Seed: 42 | Dry run: False
2026-04-11 16:20:40 | INFO     | coda_base | Epochs: 30 | Batch: 16 | LR: 1.00e-04
2026-04-11 16:20:40 | INFO     | coda_base | Freeze BERT: True | Prosodic: True | AMP: True
2026-04-11 16:20:40 | INFO     | coda_base | ============================================================
2026-04-11 16:20:44 | INFO     | coda_base | Dataset: 179590 samples
2026-04-11 16:20:44 | INFO     | coda_base | Train: 159512 | Val: 20078
2026-04-11 16:20:44 | INFO     | coda_base | Class weights (sqrt_inverse): ['1.140', '1.064', '0.480', '1.316']
2026-04-11 16:20:50 | INFO     | coda_base | Total params: 178,907,846 | Trainable: 600,518
2026-04-11 16:23:07 | DEBUG    | coda_base |   batch 50 | loss 2.5563 | grad 1.5088 | lr 4.00e-06 | GPU 0.76 GB
2026-04-11 16:23:08 | DEBUG    | coda_base |   batch 100 | loss 1.6209 | grad 1.5086 | lr 4.00e-06 | GPU 0.76 GB
2026-04-11 16:23:09 | DEBUG    | coda_base |   batch 150 | loss 2.0100 | grad 1.5177 | lr 4.01e-06 | GPU 0.76 GB
2026-04-11 16:23:10 | DEBUG    | coda_base |   batch 200 | loss 1.9983 | grad 1.5068 | lr 4.01e-06 | GPU 0.76 GB
2026-04-11 16:23:12 | DEBUG    | coda_base |   batch 250 | loss 1.5234 | grad 1.4897 | lr 4.02e-06 | GPU 0.76 GB
2026-04-11 16:23:13 | DEBUG    | coda_base |   batch 300 | loss 1.8588 | grad 1.5183 | lr 4.02e-06 | GPU 0.77 GB
2026-04-11 16:23:14 | DEBUG    | coda_base |   batch 350 | loss 1.5682 | grad 1.5073 | lr 4.03e-06 | GPU 0.76 GB
2026-04-11 16:23:15 | DEBUG    | coda_base |   batch 400 | loss 2.2246 | grad 1.5416 | lr 4.04e-06 | GPU 0.77 GB
2026-04-11 16:23:17 | DEBUG    | coda_base |   batch 450 | loss 1.6918 | grad 1.5203 | lr 4.05e-06 | GPU 0.76 GB
2026-04-11 16:23:18 | DEBUG    | coda_base |   batch 500 | loss 1.2074 | grad 1.5138 | lr 4.07e-06 | GPU 0.77 GB
2026-04-11 16:23:19 | DEBUG    | coda_base |   batch 550 | loss 1.9868 | grad 1.5167 | lr 4.08e-06 | GPU 0.76 GB
2026-04-11 16:23:20 | DEBUG    | coda_base |   batch 600 | loss 1.6936 | grad 1.4977 | lr 4.10e-06 | GPU 0.76 GB
2026-04-11 16:23:22 | DEBUG    | coda_base |   batch 650 | loss 1.6082 | grad 1.5081 | lr 4.11e-06 | GPU 0.76 GB
2026-04-11 16:23:23 | DEBUG    | coda_base |   batch 700 | loss 1.5289 | grad 1.5030 | lr 4.13e-06 | GPU 0.76 GB
2026-04-11 16:23:24 | DEBUG    | coda_base |   batch 750 | loss 2.1722 | grad 1.5316 | lr 4.15e-06 | GPU 0.76 GB
2026-04-11 16:23:26 | DEBUG    | coda_base |   batch 800 | loss 1.6319 | grad 1.5216 | lr 4.17e-06 | GPU 0.76 GB
2026-04-11 16:23:27 | DEBUG    | coda_base |   batch 850 | loss 2.2424 | grad 1.5323 | lr 4.19e-06 | GPU 0.76 GB
2026-04-11 16:23:28 | DEBUG    | coda_base |   batch 900 | loss 1.7081 | grad 1.4994 | lr 4.21e-06 | GPU 0.76 GB
2026-04-11 16:23:29 | DEBUG    | coda_base |   batch 950 | loss 1.9389 | grad 1.5217 | lr 4.24e-06 | GPU 0.76 GB
2026-04-11 16:23:31 | DEBUG    | coda_base |   batch 1000 | loss 2.0802 | grad 1.4861 | lr 4.26e-06 | GPU 0.76 GB
2026-04-11 16:23:32 | DEBUG    | coda_base |   batch 1050 | loss 2.0717 | grad 1.5107 | lr 4.29e-06 | GPU 0.76 GB
2026-04-11 16:23:33 | DEBUG    | coda_base |   batch 1100 | loss 2.0819 | grad 1.5065 | lr 4.32e-06 | GPU 0.76 GB
2026-04-11 16:23:34 | DEBUG    | coda_base |   batch 1150 | loss 1.3878 | grad 1.5103 | lr 4.35e-06 | GPU 0.76 GB
2026-04-11 16:23:36 | DEBUG    | coda_base |   batch 1200 | loss 1.9658 | grad 1.5249 | lr 4.38e-06 | GPU 0.76 GB
2026-04-11 16:23:37 | DEBUG    | coda_base |   batch 1250 | loss 2.0264 | grad 1.5169 | lr 4.41e-06 | GPU 0.76 GB
2026-04-11 16:23:38 | DEBUG    | coda_base |   batch 1300 | loss 2.1150 | grad 1.5161 | lr 4.45e-06 | GPU 0.75 GB
2026-04-11 16:23:39 | DEBUG    | coda_base |   batch 1350 | loss 1.6348 | grad 1.5163 | lr 4.48e-06 | GPU 0.76 GB
2026-04-11 16:23:41 | DEBUG    | coda_base |   batch 1400 | loss 1.7192 | grad 1.4856 | lr 4.52e-06 | GPU 0.76 GB
2026-04-11 16:23:42 | DEBUG    | coda_base |   batch 1450 | loss 2.4899 | grad 1.5047 | lr 4.56e-06 | GPU 0.76 GB
2026-04-11 16:23:43 | DEBUG    | coda_base |   batch 1500 | loss 2.0879 | grad 1.5110 | lr 4.59e-06 | GPU 0.76 GB
2026-04-11 16:23:44 | DEBUG    | coda_base |   batch 1550 | loss 0.8393 | grad 1.4974 | lr 4.63e-06 | GPU 0.77 GB
2026-04-11 16:23:46 | DEBUG    | coda_base |   batch 1600 | loss 1.9330 | grad 1.5300 | lr 4.68e-06 | GPU 0.76 GB
2026-04-11 16:23:47 | DEBUG    | coda_base |   batch 1650 | loss 1.7837 | grad 1.4889 | lr 4.72e-06 | GPU 0.76 GB
2026-04-11 16:23:48 | DEBUG    | coda_base |   batch 1700 | loss 2.6290 | grad 1.4776 | lr 4.76e-06 | GPU 0.76 GB
2026-04-11 16:23:49 | DEBUG    | coda_base |   batch 1750 | loss 0.9823 | grad 1.5130 | lr 4.81e-06 | GPU 0.76 GB
2026-04-11 16:23:51 | DEBUG    | coda_base |   batch 1800 | loss 1.6468 | grad 1.5360 | lr 4.86e-06 | GPU 0.76 GB
2026-04-11 16:23:52 | DEBUG    | coda_base |   batch 1850 | loss 1.6311 | grad 1.4785 | lr 4.90e-06 | GPU 0.77 GB
2026-04-11 16:23:53 | DEBUG    | coda_base |   batch 1900 | loss 1.4070 | grad 1.5040 | lr 4.95e-06 | GPU 0.76 GB
2026-04-11 16:23:54 | DEBUG    | coda_base |   batch 1950 | loss 2.5847 | grad 1.4989 | lr 5.00e-06 | GPU 0.76 GB
2026-04-11 16:23:56 | DEBUG    | coda_base |   batch 2000 | loss 1.3666 | grad 1.4909 | lr 5.06e-06 | GPU 0.77 GB
2026-04-11 16:23:57 | DEBUG    | coda_base |   batch 2050 | loss 1.0648 | grad 1.4997 | lr 5.11e-06 | GPU 0.77 GB
2026-04-11 16:23:58 | DEBUG    | coda_base |   batch 2100 | loss 2.0200 | grad 1.5152 | lr 5.16e-06 | GPU 0.76 GB
2026-04-11 16:23:59 | DEBUG    | coda_base |   batch 2150 | loss 2.3022 | grad 1.4982 | lr 5.22e-06 | GPU 0.76 GB
2026-04-11 16:24:01 | DEBUG    | coda_base |   batch 2200 | loss 1.5947 | grad 1.5122 | lr 5.28e-06 | GPU 0.76 GB
2026-04-11 16:24:02 | DEBUG    | coda_base |   batch 2250 | loss 2.0488 | grad 1.4978 | lr 5.33e-06 | GPU 0.76 GB
2026-04-11 16:24:03 | DEBUG    | coda_base |   batch 2300 | loss 2.0693 | grad 1.5065 | lr 5.39e-06 | GPU 0.76 GB
2026-04-11 16:24:04 | DEBUG    | coda_base |   batch 2350 | loss 1.8567 | grad 1.4968 | lr 5.45e-06 | GPU 0.76 GB
2026-04-11 16:24:06 | DEBUG    | coda_base |   batch 2400 | loss 1.8592 | grad 1.4853 | lr 5.52e-06 | GPU 0.76 GB
2026-04-11 16:24:07 | DEBUG    | coda_base |   batch 2450 | loss 1.9718 | grad 1.4810 | lr 5.58e-06 | GPU 0.76 GB
2026-04-11 16:24:08 | DEBUG    | coda_base |   batch 2500 | loss 1.6845 | grad 1.4951 | lr 5.65e-06 | GPU 0.77 GB
2026-04-11 16:24:09 | DEBUG    | coda_base |   batch 2550 | loss 1.3504 | grad 1.4718 | lr 5.71e-06 | GPU 0.76 GB
2026-04-11 16:24:11 | DEBUG    | coda_base |   batch 2600 | loss 1.3443 | grad 1.4978 | lr 5.78e-06 | GPU 0.76 GB
2026-04-11 16:24:12 | DEBUG    | coda_base |   batch 2650 | loss 1.6689 | grad 1.4909 | lr 5.85e-06 | GPU 0.77 GB
2026-04-11 16:24:13 | DEBUG    | coda_base |   batch 2700 | loss 1.5981 | grad 1.4847 | lr 5.92e-06 | GPU 0.76 GB
2026-04-11 16:24:14 | DEBUG    | coda_base |   batch 2750 | loss 1.5336 | grad 1.4913 | lr 5.99e-06 | GPU 0.76 GB
2026-04-11 16:24:16 | DEBUG    | coda_base |   batch 2800 | loss 1.2724 | grad 1.5535 | lr 6.06e-06 | GPU 0.76 GB
2026-04-11 16:24:17 | DEBUG    | coda_base |   batch 2850 | loss 1.6268 | grad 1.4816 | lr 6.13e-06 | GPU 0.76 GB
2026-04-11 16:24:18 | DEBUG    | coda_base |   batch 2900 | loss 1.4744 | grad 1.5123 | lr 6.21e-06 | GPU 0.76 GB
2026-04-11 16:24:19 | DEBUG    | coda_base |   batch 2950 | loss 1.6807 | grad 1.4945 | lr 6.29e-06 | GPU 0.76 GB
2026-04-11 16:24:21 | DEBUG    | coda_base |   batch 3000 | loss 1.6064 | grad 1.5141 | lr 6.36e-06 | GPU 0.76 GB
2026-04-11 16:24:22 | DEBUG    | coda_base |   batch 3050 | loss 1.5789 | grad 1.4891 | lr 6.44e-06 | GPU 0.76 GB
2026-04-11 16:24:23 | DEBUG    | coda_base |   batch 3100 | loss 1.4077 | grad 1.5135 | lr 6.52e-06 | GPU 0.76 GB
2026-04-11 16:24:24 | DEBUG    | coda_base |   batch 3150 | loss 0.9708 | grad 1.5251 | lr 6.60e-06 | GPU 0.76 GB
