2026-04-12 02:51:31 | INFO     | coda_full | Log file: C:\Users\Meric\Desktop\VKR\Code\results\logs\2026-04-12_02-51-31_coda_full.log
2026-04-12 02:51:31 | INFO     | coda_full | ============================================================
2026-04-12 02:51:31 | INFO     | coda_full | Training: CODA-FULL
2026-04-12 02:51:31 | INFO     | coda_full | Device: cuda | Seed: 42 | Dry run: False
2026-04-12 02:51:31 | INFO     | coda_full | Epochs: 30 | Batch: 16 | LR: 1.00e-04
2026-04-12 02:51:31 | INFO     | coda_full | Freeze BERT: True | Prosodic: True | AMP: True
2026-04-12 02:51:31 | INFO     | coda_full | ============================================================
2026-04-12 02:51:35 | INFO     | coda_full | Dataset: 179590 samples
2026-04-12 02:58:45 | DEBUG    | coda_full |   batch 1850 | loss 1.4867 | grad 1.7351 | lr 4.90e-06 | GPU 0.80 GB
2026-04-12 02:58:53 | DEBUG    | coda_full |   batch 1900 | loss 1.8522 | grad 1.5971 | lr 4.95e-06 | GPU 0.80 GB
2026-04-12 02:59:01 | DEBUG    | coda_full |   batch 1950 | loss 1.3759 | grad 1.6970 | lr 5.00e-06 | GPU 0.80 GB
2026-04-12 02:59:10 | DEBUG    | coda_full |   batch 2000 | loss 1.4688 | grad 1.6079 | lr 5.06e-06 | GPU 0.80 GB
2026-04-12 02:59:18 | DEBUG    | coda_full |   batch 2050 | loss 1.2849 | grad 1.7535 | lr 5.11e-06 | GPU 0.81 GB
2026-04-12 02:59:26 | DEBUG    | coda_full |   batch 2100 | loss 1.1886 | grad 1.9078 | lr 5.16e-06 | GPU 0.80 GB
2026-04-12 02:59:34 | DEBUG    | coda_full |   batch 2150 | loss 2.3444 | grad 1.7712 | lr 5.22e-06 | GPU 0.80 GB
2026-04-12 02:59:42 | DEBUG    | coda_full |   batch 2200 | loss 1.0174 | grad 1.8361 | lr 5.28e-06 | GPU 0.81 GB
2026-04-12 02:59:50 | DEBUG    | coda_full |   batch 2250 | loss 1.6964 | grad 1.7548 | lr 5.33e-06 | GPU 0.81 GB
2026-04-12 02:59:58 | DEBUG    | coda_full |   batch 2300 | loss 2.0039 | grad 1.6092 | lr 5.39e-06 | GPU 0.81 GB
2026-04-12 03:00:07 | DEBUG    | coda_full |   batch 2350 | loss 1.5571 | grad 1.8787 | lr 5.45e-06 | GPU 0.80 GB
2026-04-12 03:00:15 | DEBUG    | coda_full |   batch 2400 | loss 1.5748 | grad 1.8334 | lr 5.52e-06 | GPU 0.80 GB
2026-04-12 03:00:23 | DEBUG    | coda_full |   batch 2450 | loss 1.3038 | grad 1.9184 | lr 5.58e-06 | GPU 0.80 GB
2026-04-12 03:00:32 | DEBUG    | coda_full |   batch 2500 | loss 1.0550 | grad 1.7171 | lr 5.65e-06 | GPU 0.80 GB
2026-04-12 03:00:40 | DEBUG    | coda_full |   batch 2550 | loss 1.6323 | grad 1.9173 | lr 5.71e-06 | GPU 0.80 GB
2026-04-12 03:00:49 | DEBUG    | coda_full |   batch 2600 | loss 1.0272 | grad 1.8399 | lr 5.78e-06 | GPU 0.80 GB
2026-04-12 03:00:57 | DEBUG    | coda_full |   batch 2650 | loss 1.7148 | grad 1.7322 | lr 5.85e-06 | GPU 0.80 GB
2026-04-12 03:01:05 | DEBUG    | coda_full |   batch 2700 | loss 1.3497 | grad 2.1315 | lr 5.92e-06 | GPU 0.80 GB
2026-04-12 03:01:13 | DEBUG    | coda_full |   batch 2750 | loss 2.0040 | grad 1.7878 | lr 5.99e-06 | GPU 0.80 GB
2026-04-12 03:01:21 | DEBUG    | coda_full |   batch 2800 | loss 0.7041 | grad 2.0895 | lr 6.06e-06 | GPU 0.80 GB
2026-04-12 03:01:29 | DEBUG    | coda_full |   batch 2850 | loss 1.2772 | grad 2.1463 | lr 6.13e-06 | GPU 0.80 GB
2026-04-12 03:01:37 | DEBUG    | coda_full |   batch 2900 | loss 1.3647 | grad 1.7961 | lr 6.21e-06 | GPU 0.80 GB
2026-04-12 03:01:45 | DEBUG    | coda_full |   batch 2950 | loss 1.4559 | grad 2.1088 | lr 6.29e-06 | GPU 0.81 GB
2026-04-12 03:01:54 | DEBUG    | coda_full |   batch 3000 | loss 1.0957 | grad 1.7303 | lr 6.36e-06 | GPU 0.80 GB
2026-04-12 03:02:02 | DEBUG    | coda_full |   batch 3050 | loss 1.1372 | grad 1.8974 | lr 6.44e-06 | GPU 0.80 GB
2026-04-12 03:02:10 | DEBUG    | coda_full |   batch 3100 | loss 1.3020 | grad 1.7738 | lr 6.52e-06 | GPU 0.80 GB
2026-04-12 03:02:18 | DEBUG    | coda_full |   batch 3150 | loss 1.6151 | grad 1.8597 | lr 6.60e-06 | GPU 0.80 GB
2026-04-12 03:02:25 | DEBUG    | coda_full |   batch 3200 | loss 1.4753 | grad 2.1381 | lr 6.69e-06 | GPU 0.81 GB
2026-04-12 03:02:34 | DEBUG    | coda_full |   batch 3250 | loss 1.0949 | grad 1.8745 | lr 6.77e-06 | GPU 0.81 GB
2026-04-12 03:02:42 | DEBUG    | coda_full |   batch 3300 | loss 1.0138 | grad 2.2352 | lr 6.85e-06 | GPU 0.81 GB
2026-04-12 03:02:50 | DEBUG    | coda_full |   batch 3350 | loss 0.8268 | grad 2.2718 | lr 6.94e-06 | GPU 0.80 GB
2026-04-12 03:02:58 | DEBUG    | coda_full |   batch 3400 | loss 0.8428 | grad 2.4724 | lr 7.03e-06 | GPU 0.80 GB
2026-04-12 03:03:06 | DEBUG    | coda_full |   batch 3450 | loss 1.2105 | grad 1.8341 | lr 7.12e-06 | GPU 0.80 GB
2026-04-12 03:03:14 | DEBUG    | coda_full |   batch 3500 | loss 0.9292 | grad 2.4630 | lr 7.21e-06 | GPU 0.80 GB
2026-04-12 03:03:22 | DEBUG    | coda_full |   batch 3550 | loss 0.8786 | grad 2.0000 | lr 7.30e-06 | GPU 0.80 GB
2026-04-12 03:03:30 | DEBUG    | coda_full |   batch 3600 | loss 0.9398 | grad 2.0877 | lr 7.39e-06 | GPU 0.80 GB
2026-04-12 03:03:38 | DEBUG    | coda_full |   batch 3650 | loss 1.7434 | grad 2.2116 | lr 7.48e-06 | GPU 0.80 GB
2026-04-12 03:03:46 | DEBUG    | coda_full |   batch 3700 | loss 0.9563 | grad 2.9177 | lr 7.58e-06 | GPU 0.81 GB
2026-04-12 03:03:54 | DEBUG    | coda_full |   batch 3750 | loss 0.6254 | grad 2.2157 | lr 7.68e-06 | GPU 0.80 GB
2026-04-12 03:04:03 | DEBUG    | coda_full |   batch 3800 | loss 1.2437 | grad 2.4117 | lr 7.77e-06 | GPU 0.80 GB
2026-04-12 03:04:10 | DEBUG    | coda_full |   batch 3850 | loss 1.6609 | grad 2.2446 | lr 7.87e-06 | GPU 0.80 GB
2026-04-12 03:04:18 | DEBUG    | coda_full |   batch 3900 | loss 1.1217 | grad 2.0911 | lr 7.97e-06 | GPU 0.80 GB
2026-04-12 03:04:26 | DEBUG    | coda_full |   batch 3950 | loss 0.8227 | grad 3.0615 | lr 8.07e-06 | GPU 0.80 GB
2026-04-12 03:04:35 | DEBUG    | coda_full |   batch 4000 | loss 1.1299 | grad 1.8599 | lr 8.17e-06 | GPU 0.80 GB
2026-04-12 03:04:43 | DEBUG    | coda_full |   batch 4050 | loss 1.6008 | grad 2.3594 | lr 8.28e-06 | GPU 0.80 GB
2026-04-12 03:04:50 | DEBUG    | coda_full |   batch 4100 | loss 1.2832 | grad 2.1127 | lr 8.38e-06 | GPU 0.80 GB
