2026-04-11 00:30:29 | INFO     | coda_uniattn | Log file: C:\Users\Meric\Desktop\VKR\Code\results\logs\2026-04-11_00-30-29_coda_uniattn.log
2026-04-11 00:30:29 | INFO     | coda_uniattn | ============================================================
2026-04-11 00:30:29 | INFO     | coda_uniattn | Training: CODA-UNIATTN
2026-04-11 00:30:29 | INFO     | coda_uniattn | Device: cuda | Seed: 42 | Dry run: False
2026-04-11 00:30:29 | INFO     | coda_uniattn | Epochs: 30 | Batch: 16 | LR: 1.00e-04
2026-04-11 00:30:29 | INFO     | coda_uniattn | Freeze BERT: True | Prosodic: True | AMP: True
2026-04-11 00:30:29 | INFO     | coda_uniattn | ============================================================
2026-04-11 00:30:32 | INFO     | coda_uniattn | Dataset: 179590 samples
2026-04-11 00:30:32 | INFO     | coda_uniattn | Train: 161631 | Val: 17959
2026-04-11 00:30:32 | INFO     | coda_uniattn | Class weights (sqrt_inverse): ['1.140', '1.064', '0.480', '1.316']
2026-04-11 00:30:38 | INFO     | coda_uniattn | Total params: 179,697,606 | Trainable: 1,390,278
2026-04-11 00:32:27 | DEBUG    | coda_uniattn |   batch 50 | loss 2.0446 | grad 1.6695 | lr 4.00e-06 | GPU 0.77 GB
2026-04-11 00:32:29 | DEBUG    | coda_uniattn |   batch 100 | loss 1.9847 | grad 1.6781 | lr 4.00e-06 | GPU 0.77 GB
2026-04-11 00:32:30 | DEBUG    | coda_uniattn |   batch 150 | loss 2.4588 | grad 1.6454 | lr 4.01e-06 | GPU 0.77 GB
2026-04-11 00:32:32 | DEBUG    | coda_uniattn |   batch 200 | loss 1.7912 | grad 1.6629 | lr 4.01e-06 | GPU 0.78 GB
2026-04-11 00:32:34 | DEBUG    | coda_uniattn |   batch 250 | loss 1.6093 | grad 1.7106 | lr 4.02e-06 | GPU 0.77 GB
2026-04-11 00:32:36 | DEBUG    | coda_uniattn |   batch 300 | loss 1.4609 | grad 1.6845 | lr 4.02e-06 | GPU 0.78 GB
2026-04-11 00:32:37 | DEBUG    | coda_uniattn |   batch 350 | loss 2.3697 | grad 1.6911 | lr 4.03e-06 | GPU 0.78 GB
2026-04-11 00:32:39 | DEBUG    | coda_uniattn |   batch 400 | loss 1.7827 | grad 1.6506 | lr 4.04e-06 | GPU 0.78 GB
2026-04-11 00:32:41 | DEBUG    | coda_uniattn |   batch 450 | loss 1.8574 | grad 1.6199 | lr 4.05e-06 | GPU 0.78 GB
2026-04-11 00:32:43 | DEBUG    | coda_uniattn |   batch 500 | loss 1.6036 | grad 1.6770 | lr 4.06e-06 | GPU 0.77 GB
2026-04-11 00:32:45 | DEBUG    | coda_uniattn |   batch 550 | loss 1.7541 | grad 1.6353 | lr 4.08e-06 | GPU 0.77 GB
2026-04-11 00:32:46 | DEBUG    | coda_uniattn |   batch 600 | loss 2.0548 | grad 1.6212 | lr 4.09e-06 | GPU 0.77 GB
2026-04-11 00:32:48 | DEBUG    | coda_uniattn |   batch 650 | loss 1.1132 | grad 1.6891 | lr 4.11e-06 | GPU 0.78 GB
2026-04-11 00:32:50 | DEBUG    | coda_uniattn |   batch 700 | loss 2.0639 | grad 1.6990 | lr 4.13e-06 | GPU 0.77 GB
2026-04-11 00:32:51 | DEBUG    | coda_uniattn |   batch 750 | loss 1.4143 | grad 1.7301 | lr 4.15e-06 | GPU 0.78 GB
2026-04-11 00:32:53 | DEBUG    | coda_uniattn |   batch 800 | loss 1.7515 | grad 1.6697 | lr 4.16e-06 | GPU 0.77 GB
2026-04-11 00:32:54 | DEBUG    | coda_uniattn |   batch 850 | loss 1.9330 | grad 1.6616 | lr 4.19e-06 | GPU 0.78 GB
2026-04-11 00:32:56 | DEBUG    | coda_uniattn |   batch 900 | loss 1.2973 | grad 1.6535 | lr 4.21e-06 | GPU 0.77 GB
2026-04-11 00:32:57 | DEBUG    | coda_uniattn |   batch 950 | loss 1.4285 | grad 1.7004 | lr 4.23e-06 | GPU 0.77 GB
2026-04-11 00:32:59 | DEBUG    | coda_uniattn |   batch 1000 | loss 1.6906 | grad 1.7180 | lr 4.26e-06 | GPU 0.77 GB
2026-04-11 00:33:00 | DEBUG    | coda_uniattn |   batch 1050 | loss 1.6547 | grad 1.6891 | lr 4.28e-06 | GPU 0.78 GB
2026-04-11 00:33:02 | DEBUG    | coda_uniattn |   batch 1100 | loss 1.5228 | grad 1.6891 | lr 4.31e-06 | GPU 0.78 GB
2026-04-11 00:33:03 | DEBUG    | coda_uniattn |   batch 1150 | loss 1.7634 | grad 1.7313 | lr 4.34e-06 | GPU 0.77 GB
2026-04-11 00:33:05 | DEBUG    | coda_uniattn |   batch 1200 | loss 1.6061 | grad 1.6986 | lr 4.37e-06 | GPU 0.77 GB
2026-04-11 00:33:06 | DEBUG    | coda_uniattn |   batch 1250 | loss 1.2381 | grad 1.7572 | lr 4.40e-06 | GPU 0.77 GB
2026-04-11 00:33:08 | DEBUG    | coda_uniattn |   batch 1300 | loss 2.1698 | grad 1.6642 | lr 4.44e-06 | GPU 0.78 GB
2026-04-11 00:33:09 | DEBUG    | coda_uniattn |   batch 1350 | loss 1.4029 | grad 1.7312 | lr 4.47e-06 | GPU 0.77 GB
2026-04-11 00:33:11 | DEBUG    | coda_uniattn |   batch 1400 | loss 1.5560 | grad 1.6759 | lr 4.50e-06 | GPU 0.77 GB
2026-04-11 00:33:12 | DEBUG    | coda_uniattn |   batch 1450 | loss 0.9142 | grad 1.6964 | lr 4.54e-06 | GPU 0.77 GB
2026-04-11 00:33:14 | DEBUG    | coda_uniattn |   batch 1500 | loss 0.9207 | grad 1.7336 | lr 4.58e-06 | GPU 0.77 GB
2026-04-11 00:33:15 | DEBUG    | coda_uniattn |   batch 1550 | loss 1.7043 | grad 1.6523 | lr 4.62e-06 | GPU 0.78 GB
2026-04-11 00:33:17 | DEBUG    | coda_uniattn |   batch 1600 | loss 1.2993 | grad 1.7298 | lr 4.66e-06 | GPU 0.77 GB
2026-04-11 00:33:18 | DEBUG    | coda_uniattn |   batch 1650 | loss 1.7833 | grad 1.6929 | lr 4.70e-06 | GPU 0.77 GB
2026-04-11 00:33:20 | DEBUG    | coda_uniattn |   batch 1700 | loss 1.3210 | grad 1.7177 | lr 4.74e-06 | GPU 0.77 GB
2026-04-11 00:33:22 | DEBUG    | coda_uniattn |   batch 1750 | loss 1.1452 | grad 1.7256 | lr 4.79e-06 | GPU 0.77 GB
2026-04-11 00:33:23 | DEBUG    | coda_uniattn |   batch 1800 | loss 1.0441 | grad 1.6284 | lr 4.83e-06 | GPU 0.77 GB
2026-04-11 00:33:25 | DEBUG    | coda_uniattn |   batch 1850 | loss 1.1289 | grad 1.7889 | lr 4.88e-06 | GPU 0.78 GB
2026-04-11 00:33:26 | DEBUG    | coda_uniattn |   batch 1900 | loss 1.0283 | grad 1.7271 | lr 4.93e-06 | GPU 0.77 GB
2026-04-11 00:33:28 | DEBUG    | coda_uniattn |   batch 1950 | loss 1.5017 | grad 1.7220 | lr 4.98e-06 | GPU 0.77 GB
2026-04-11 00:33:29 | DEBUG    | coda_uniattn |   batch 2000 | loss 1.1377 | grad 1.7689 | lr 5.03e-06 | GPU 0.77 GB
2026-04-11 00:33:31 | DEBUG    | coda_uniattn |   batch 2050 | loss 1.1696 | grad 1.9034 | lr 5.08e-06 | GPU 0.77 GB
2026-04-11 00:33:32 | DEBUG    | coda_uniattn |   batch 2100 | loss 1.6280 | grad 1.8065 | lr 5.13e-06 | GPU 0.78 GB
2026-04-11 00:33:34 | DEBUG    | coda_uniattn |   batch 2150 | loss 1.1111 | grad 1.7129 | lr 5.19e-06 | GPU 0.77 GB
2026-04-11 00:33:36 | DEBUG    | coda_uniattn |   batch 2200 | loss 1.1543 | grad 1.8297 | lr 5.24e-06 | GPU 0.77 GB
2026-04-11 00:33:37 | DEBUG    | coda_uniattn |   batch 2250 | loss 1.3796 | grad 1.8002 | lr 5.30e-06 | GPU 0.77 GB
2026-04-11 00:33:39 | DEBUG    | coda_uniattn |   batch 2300 | loss 0.8821 | grad 1.7843 | lr 5.36e-06 | GPU 0.77 GB
