2026-04-09 21:25:55 | INFO     | hf_audio_baseline | Log file: C:\Users\Meric\Desktop\VKR\Code\results\logs\2026-04-09_21-25-55_hf_audio_baseline.log
2026-04-09 21:25:55 | INFO     | hf_audio_baseline | ============================================================
2026-04-09 21:25:55 | INFO     | hf_audio_baseline | Training: hf_audio_baseline
2026-04-09 21:25:55 | INFO     | hf_audio_baseline | Device: cuda
2026-04-09 21:25:55 | INFO     | hf_audio_baseline | Seed: 42
2026-04-09 21:25:55 | INFO     | hf_audio_baseline | Dry run: False
2026-04-09 21:25:55 | INFO     | hf_audio_baseline | Max samples: None
2026-04-09 21:25:55 | INFO     | hf_audio_baseline | Epochs: 30 | Batch: 32 | LR: 1.00e-04
2026-04-09 21:25:55 | INFO     | hf_audio_baseline | Prosodic: True
2026-04-09 21:25:55 | INFO     | hf_audio_baseline | ============================================================
2026-04-09 21:25:59 | INFO     | hf_audio_baseline | Dataset: 181168 samples
2026-04-09 21:25:59 | INFO     | hf_audio_baseline | Train: 163052 | Val: 18116
2026-04-09 21:25:59 | INFO     | hf_audio_baseline | Class weights: [1.1803399324417114, 1.0375936031341553, 0.21276243031024933, 1.5693039894104004]
2026-04-09 21:25:59 | INFO     | hf_audio_baseline | Model params: 568,261
2026-04-09 21:26:49 | DEBUG    | hf_audio_baseline |   batch 50 | loss 1.4898 | grad_norm 1.8042 | lr 4.00e-06 | GPU 0.06 GB
2026-04-09 21:26:58 | DEBUG    | hf_audio_baseline |   batch 100 | loss 1.3672 | grad_norm 1.7679 | lr 4.01e-06 | GPU 0.07 GB
2026-04-09 21:27:07 | DEBUG    | hf_audio_baseline |   batch 150 | loss 1.3771 | grad_norm 1.7793 | lr 4.02e-06 | GPU 0.06 GB
2026-04-09 21:27:16 | DEBUG    | hf_audio_baseline |   batch 200 | loss 1.4183 | grad_norm 1.8217 | lr 4.04e-06 | GPU 0.07 GB
2026-04-09 21:27:25 | DEBUG    | hf_audio_baseline |   batch 250 | loss 1.3829 | grad_norm 1.7938 | lr 4.06e-06 | GPU 0.08 GB
2026-04-09 21:27:34 | DEBUG    | hf_audio_baseline |   batch 300 | loss 1.3975 | grad_norm 1.8290 | lr 4.09e-06 | GPU 0.08 GB
2026-04-09 21:27:43 | DEBUG    | hf_audio_baseline |   batch 350 | loss 1.3940 | grad_norm 1.8252 | lr 4.12e-06 | GPU 0.07 GB
2026-04-09 21:27:52 | DEBUG    | hf_audio_baseline |   batch 400 | loss 1.4068 | grad_norm 1.8032 | lr 4.16e-06 | GPU 0.08 GB
2026-04-09 21:28:01 | DEBUG    | hf_audio_baseline |   batch 450 | loss 1.4327 | grad_norm 1.7698 | lr 4.21e-06 | GPU 0.07 GB
2026-04-09 21:28:10 | DEBUG    | hf_audio_baseline |   batch 500 | loss 1.4595 | grad_norm 1.7283 | lr 4.25e-06 | GPU 0.06 GB
2026-04-09 21:28:19 | DEBUG    | hf_audio_baseline |   batch 550 | loss 1.4217 | grad_norm 1.7701 | lr 4.31e-06 | GPU 0.06 GB
2026-04-09 21:28:28 | DEBUG    | hf_audio_baseline |   batch 600 | loss 1.3450 | grad_norm 1.8198 | lr 4.36e-06 | GPU 0.06 GB
2026-04-09 21:28:37 | DEBUG    | hf_audio_baseline |   batch 650 | loss 1.4447 | grad_norm 1.8032 | lr 4.43e-06 | GPU 0.07 GB
2026-04-09 21:28:46 | DEBUG    | hf_audio_baseline |   batch 700 | loss 1.4358 | grad_norm 1.7964 | lr 4.50e-06 | GPU 0.07 GB
2026-04-09 21:28:54 | DEBUG    | hf_audio_baseline |   batch 750 | loss 1.4572 | grad_norm 1.7902 | lr 4.57e-06 | GPU 0.06 GB
2026-04-09 21:29:04 | DEBUG    | hf_audio_baseline |   batch 800 | loss 1.4104 | grad_norm 1.8084 | lr 4.65e-06 | GPU 0.07 GB
2026-04-09 21:29:12 | DEBUG    | hf_audio_baseline |   batch 850 | loss 1.3582 | grad_norm 1.8035 | lr 4.73e-06 | GPU 0.08 GB
2026-04-09 21:29:21 | DEBUG    | hf_audio_baseline |   batch 900 | loss 1.4873 | grad_norm 1.8121 | lr 4.82e-06 | GPU 0.07 GB
2026-04-09 21:29:30 | DEBUG    | hf_audio_baseline |   batch 950 | loss 1.4390 | grad_norm 1.8146 | lr 4.91e-06 | GPU 0.07 GB
2026-04-09 21:29:39 | DEBUG    | hf_audio_baseline |   batch 1000 | loss 1.4163 | grad_norm 1.8404 | lr 5.01e-06 | GPU 0.06 GB
2026-04-09 21:29:48 | DEBUG    | hf_audio_baseline |   batch 1050 | loss 1.4026 | grad_norm 1.7458 | lr 5.11e-06 | GPU 0.06 GB
2026-04-09 21:29:57 | DEBUG    | hf_audio_baseline |   batch 1100 | loss 1.4001 | grad_norm 1.7918 | lr 5.22e-06 | GPU 0.07 GB
2026-04-09 21:30:06 | DEBUG    | hf_audio_baseline |   batch 1150 | loss 1.3818 | grad_norm 1.7640 | lr 5.33e-06 | GPU 0.06 GB
2026-04-09 21:30:15 | DEBUG    | hf_audio_baseline |   batch 1200 | loss 1.4077 | grad_norm 1.7874 | lr 5.45e-06 | GPU 0.07 GB
2026-04-09 21:30:24 | DEBUG    | hf_audio_baseline |   batch 1250 | loss 1.3300 | grad_norm 1.7637 | lr 5.58e-06 | GPU 0.08 GB
2026-04-09 21:30:33 | DEBUG    | hf_audio_baseline |   batch 1300 | loss 1.3366 | grad_norm 1.8174 | lr 5.70e-06 | GPU 0.08 GB
