2026-04-11 19:20:57 | INFO     | coda_biattn | Log file: C:\Users\Meric\Desktop\VKR\Code\results\logs\2026-04-11_19-20-57_coda_biattn.log
2026-04-11 19:20:57 | INFO     | coda_biattn | ============================================================
2026-04-11 19:20:57 | INFO     | coda_biattn | Training: CODA-BIATTN
2026-04-11 19:20:57 | INFO     | coda_biattn | Device: cuda | Seed: 42 | Dry run: False
2026-04-11 19:20:57 | INFO     | coda_biattn | Epochs: 30 | Batch: 16 | LR: 1.00e-04
2026-04-11 19:20:57 | INFO     | coda_biattn | Freeze BERT: True | Prosodic: True | AMP: True
2026-04-11 19:20:57 | INFO     | coda_biattn | ============================================================
2026-04-11 19:21:01 | INFO     | coda_biattn | Dataset: 179590 samples
2026-04-11 19:24:13 | DEBUG    | coda_biattn |   batch 1800 | loss 1.4340 | grad 1.6355 | lr 4.86e-06 | GPU 0.80 GB
2026-04-11 19:24:15 | DEBUG    | coda_biattn |   batch 1850 | loss 1.4151 | grad 1.6742 | lr 4.90e-06 | GPU 0.78 GB
2026-04-11 19:24:17 | DEBUG    | coda_biattn |   batch 1900 | loss 1.0254 | grad 1.6595 | lr 4.95e-06 | GPU 0.79 GB
2026-04-11 19:24:18 | DEBUG    | coda_biattn |   batch 1950 | loss 1.6060 | grad 1.6658 | lr 5.00e-06 | GPU 0.78 GB
2026-04-11 19:24:20 | DEBUG    | coda_biattn |   batch 2000 | loss 1.1752 | grad 1.6967 | lr 5.06e-06 | GPU 0.78 GB
2026-04-11 19:24:22 | DEBUG    | coda_biattn |   batch 2050 | loss 1.2286 | grad 1.7543 | lr 5.11e-06 | GPU 0.79 GB
2026-04-11 19:24:24 | DEBUG    | coda_biattn |   batch 2100 | loss 1.2900 | grad 1.6424 | lr 5.16e-06 | GPU 0.79 GB
2026-04-11 19:24:26 | DEBUG    | coda_biattn |   batch 2150 | loss 1.1476 | grad 1.6603 | lr 5.22e-06 | GPU 0.79 GB
2026-04-11 19:24:28 | DEBUG    | coda_biattn |   batch 2200 | loss 1.8624 | grad 1.7044 | lr 5.28e-06 | GPU 0.79 GB
2026-04-11 19:24:29 | DEBUG    | coda_biattn |   batch 2250 | loss 1.3890 | grad 1.5991 | lr 5.33e-06 | GPU 0.79 GB
2026-04-11 19:24:31 | DEBUG    | coda_biattn |   batch 2300 | loss 1.7098 | grad 1.7061 | lr 5.39e-06 | GPU 0.79 GB
2026-04-11 19:24:33 | DEBUG    | coda_biattn |   batch 2350 | loss 1.5746 | grad 1.6007 | lr 5.45e-06 | GPU 0.79 GB
2026-04-11 19:24:35 | DEBUG    | coda_biattn |   batch 2400 | loss 1.3894 | grad 1.7106 | lr 5.52e-06 | GPU 0.78 GB
